Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
17 1985  1.35326e+07 202120 292177 100207 104541 90186.6 100207 104541 90186.6 0.535352 216829
17 1986  1.66643e+07 206616 372325 161469 164243 145322 161469 164243 145322 0.747705 283711
17 1987  1.52586e+07 227839 355869 138906 135579 125016 138906 135579 125016 0.606309 273326
17 1988  1.89716e+07 254359 360973 133010 124916 119709 133010 124916 119709 0.531917 282134
17 1989  1.34528e+07 253860 417919 123530 122999 111177 123530 122999 111177 0.440543 310822
17 1990  1.13114e+07 307438 422433 152969 130970 137672 152969 130970 137672 0.463739 259426
17 1991  1.07517e+07 303400 408453 126467 121287 113820 126467 121287 113820 0.336093 226617
17 1992  1.46561e+07 301969 401728 108738 140725 97864.2 108738 140725 97864.2 0.408825 252734
17 1993  1.21821e+07 275077 374513 116871 138021 105184 116871 138021 105184 0.458546 237880
17 1994  1.24824e+07 253493 353397 101628 114094 91465.1 101628 114094 91465.1 0.398288 234594
17 1995  1.13816e+07 253397 360377 106220 92528.9 95598.2 106220 92528.9 95598.2 0.303742 251861
17 1996  6.66162e+06 239636 321723 76090.3 75533.2 68481.2 76090.3 75533.2 68481.2 0.272207 185089
17 1997  1.27969e+07 212485 275645 61474.6 61721 55327.1 61474.6 61721 55327.1 0.241372 212273
17 1998  2.18858e+07 188966 267194 47404.6 48589.4 42664.2 47404.6 48589.4 42664.2 0.210126 306721
17 1999  2.05544e+07 179223 282007 60836.3 62383 54752.7 60836.3 62383 54752.7 0.28306 325664
17 2000  1.91983e+07 198844 313988 63907.5 69043.6 57516.8 63907.5 69043.6 57516.8 0.251426 285006
17 2001  2.26025e+07 248417 367273 45177.2 50960 40659.5 45177.2 50960 40659.5 0.150375 351576
17 2002  1.51517e+07 259951 351407 46411.9 42815.1 41770.7 46411.9 42815.1 41770.7 0.133049 303774
17 2003  1.00774e+07 248029 300312 45645.6 47716.9 41081 45645.6 47716.9 41081 0.190097 204229
17 2004  1.06097e+07 200479 242213 33564.4 33952.9 30208 33564.4 33952.9 30208 0.15983 189036
17 2005  1.05977e+07 167567 217851 28873.3 27779.6 25986 28873.3 27779.6 25986 0.152201 184171
17 2006  1.09208e+07 150921 201413 36746.2 35783.8 33071.6 36746.2 35783.8 33071.6 0.19771 183391
17 2007  1.68199e+07 141577 181218 26968 26300.1 24271.2 26968 26300.1 24271.2 0.18057 228790
17 2008  1.30845e+07 147147 203672 28250.7 26695 25425.7 28250.7 26695 25425.7 0.174044 217456
17 2009  7.60535e+06 159854 208704 28361.9 26420.4 25525.7 28361.9 26420.4 25525.7 0.158901 158911
17 2010  1.32522e+07 205461 258908 34440.7 34434.9 30996.6 34440.7 34434.9 30996.6 0.157335 220251
17 2011  1.40484e+07 210816 280078 30673.4 30006.4 27606 30673.4 30006.4 27606 0.132591 259580
17 2012  1.13742e+07 232846 279884 30223.7 33556.4 27201.3 30223.7 33556.4 27201.3 0.139115 222703
17 2013  1.24808e+07 211724 246435 26639.4 27134 23975.5 26639.4 27134 23975.5 0.120924 207076
17 2014  1.29136e+07 197307 251085 28373.1 27761.2 25535.8 28373.1 27761.2 25535.8 0.131808 215341
17 2015  1.73219e+07 203398 259095 36255 35122.3 32629.5 36255 35122.3 32629.5 0.167892 261738
17 2016  1.92055e+07 216821 276305 33370.8 33264.9 30033.7 33370.8 33264.9 30033.7 0.150107 283265
17 2017  1.55311e+07 235566 292018 29347.8 29102.2 26413 29347.8 29102.2 26413 0.117238 270808
17 2018  1.21935e+07 240106 289890 28437.9 28136.6 25594.1 28437.9 28136.6 25594.1 0.111821 223155
17 2019  2.01046e+07 240839 295970 30510.3 30398.1 27459.2 30510.3 30398.1 27459.2 0.121595 287583
