# proportion af annaual F by season
################    COD    ################
#  
# Year 1974 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1975 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1976 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1977 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1978 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1979 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1980 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1981 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1982 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1983 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1984 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1985 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1986 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1987 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1988 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
# Year 1989 
0 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
