"Species.n" "Year" "Rec" "SSB" "TSB" "SOP" "SOP.hat" "Yield" "yield.hat" "mean.F" "Eaten"
18 2007 1053590 112035 0 67371 0 0 0 0.488 0
18 2008 840808 116241 0 49927 0 0 0 0.381 0
18 2009 4203720 89586 0 46519 0 0 0 0.328 0
18 2010 507468 89799 0 41344 0 0 0 0.305 0
18 2011 344849 124626 0 42882 0 0 0 0.294 0
18 2012 631112 145632 0 42912 0 0 0 0.287 0
18 2013 695931 114401 0 46703 0 0 0 0.293 0
18 2014 4349364 88570 0 45926 0 0 0 0.371 0
18 2015 1267983 79159 0 41477 0 0 0 0.449 0
18 2016 1487641 118145 0 42930 0 0 0 0.374 0
18 2017 693858 116902 0 40860 0 0 0 0.337 0
18 2018 2091658 104240 0 39687 0 0 0 0.367 0
18 2019 7099038 85379 0 36320 0 0 0 0.34 0
18 2020 7937453 111103 0 38928 0 0 0 0.277 0
18 2021 2710758 224921 0 44122 0 0 0 0.186 0
18 2022 4545487 395652 0 56849 0 0 0 0.119 0
18 2023 1746116 529443 0 NA 0 0 0 NA 0
21 1947 34843107 5288144 0 581760 0 0 0 0.128 0
21 1948 33204210 4492545 0 502100 0 0 0 0.116 0
21 1949 27923624 4064846 0 508500 0 0 0 0.14 0
21 1950 39551269 3813382 0 491700 0 0 0 0.148 0
21 1951 38374251 3377236 0 600400 0 0 0 0.198 0
21 1952 38187357 3195395 0 664400 0 0 0 0.22 0
21 1953 43252063 2963000 0 698500 0 0 0 0.233 0
21 1954 40358247 2706632 0 762900 0 0 0 0.28 0
21 1955 34301248 2714584 0 806400 0 0 0 0.253 0
21 1956 25467628 2625637 0 675200 0 0 0 0.25 0
21 1957 57469609 2376964 0 682900 0 0 0 0.27 0
21 1958 24929483 2018983 0 670500 0 0 0 0.249 0
21 1959 28331717 2919711 0 784500 0 0 0 0.3 0
21 1960 12552193 2516069 0 696200 0 0 0 0.245 0
21 1961 52690620 2536810 0 696700 0 0 0 0.274 0
21 1962 28485201 1771243 0 627800 0 0 0 0.316 0
21 1963 34232664 2789711 0 716000 0 0 0 0.188 0
21 1964 34357568 2516773 0 871200 0 0 0 0.293 0
21 1965 17213841 1991409 0 1168800 0 0 0 0.532 0
21 1966 18496083 1594303 0 895500 0 0 0 0.494 0
21 1967 25581791 958349 0 695500 0 0 0 0.688 0
21 1968 21939615 523395 0 717800 0 0 0 1.083 0
21 1969 12755372 479343 0 546700 0 0 0 0.884 0
21 1970 21817686 454924 0 563100 0 0 0 0.962 0
21 1971 17158471 286581 0 520100 0 0 0 1.418 0
21 1972 12615750 329390 0 497500 0 0 0 0.619 0
21 1973 6893962 278827 0 484000 0 0 0 0.948 0
21 1974 10772641 191402 0 275100 0 0 0 0.904 0
21 1975 2573246 105746 0 312800 0 0 0 1.19 0
21 1976 3337077 144849 0 174800 0 0 0 0.878 0
21 1977 4403786 110114 0 46000 0 0 0 0.331 0
21 1978 4327905 137100 0 11000 0 0 0 0.227 0
21 1979 7877575 187117 0 25100 0 0 0 0.187 0
21 1980 12639916 210879 0 70764 0 0 0 0.166 0
21 1981 27375323 271738 0 174879 0 0 0 0.25 0
21 1982 46445060 385735 0 275079 0 0 0 0.191 0
21 1983 46151118 550510 0 387202 0 0 0 0.269 0
21 1984 46549410 906030 0 428631 0 0 0 0.353 0
21 1985 55251332 994586 0 613780 0 0 0 0.451 0
21 1986 67358005 1035062 0 671488 0 0 0 0.415 0
21 1987 57782205 1217539 0 792058 0 0 0 0.394 0
21 1988 38074870 1559333 0 887686 0 0 0 0.379 0
21 1989 29846582 1620487 0 787899 0 0 0 0.367 0
21 1990 27756832 1773102 0 645229 0 0 0 0.286 0
21 1991 30285372 1574572 0 658008 0 0 0 0.309 0
21 1992 52786702 1198109 0 716799 0 0 0 0.368 0
21 1993 55579837 853988 0 671397 0 0 0 0.43 0
21 1994 43072895 910441 0 568234 0 0 0 0.427 0
21 1995 44203697 942466 0 579371 0 0 0 0.396 0
21 1996 35958398 1103450 0 275098 0 0 0 0.194 0
21 1997 29160338 1272213 0 264313 0 0 0 0.184 0
21 1998 19186559 1459599 0 391628 0 0 0 0.222 0
21 1999 55290404 1554935 0 363163 0 0 0 0.203 0
21 2000 40457232 1586086 0 388157 0 0 0 0.21 0
21 2001 67636349 1971508 0 374065 0 0 0 0.178 0
21 2002 36318539 2444638 0 394709 0 0 0 0.166 0
21 2003 20507520 2401843 0 482281 0 0 0 0.192 0
21 2004 23685950 2369684 0 587698 0 0 0 0.24 0
21 2005 20842279 2142889 0 663813 0 0 0 0.286 0
21 2006 21487048 1749434 0 514597 0 0 0 0.246 0
21 2007 24668134 1390565 0 406482 0 0 0 0.225 0
21 2008 22373022 1481491 0 257870 0 0 0 0.135 0
21 2009 35013307 1830015 0 168443 0 0 0 0.071 0
21 2010 28340638 1942330 0 187611 0 0 0 0.077 0
21 2011 24999161 2283300 0 226478 0 0 0 0.099 0
21 2012 23319964 2341959 0 434710 0 0 0 0.18 0
21 2013 31738726 2139312 0 511416 0 0 0 0.213 0
21 2014 47612886 2112189 0 517356 0 0 0 0.206 0
21 2015 13682022 1972826 0 494099 0 0 0 0.212 0
21 2016 23844071 2271820 0 563610 0 0 0 0.23 0
21 2017 14401346 2108214 0 498437 0 0 0 0.191 0
21 2018 24778622 1892368 0 603536 0 0 0 0.218 0
21 2019 22146722 1632336 0 442138 0 0 0 0.185 0
21 2020 25562864 1568755 0 426900 0 0 0 0.189 0
21 2021 18159371 1476805 0 365356 0 0 0 0.185 0
21 2022 31135028 1652003 0 462247 0 0 0 0.227 0
21 2023 31349395 1480607 0 NA 0 0 0 NA 0
20 1980 2236661 4089931 0 734950 0 0 0 0.205 0
20 1981 3935162 3606692 0 754045 0 0 0 0.206 0
20 1982 4250320 3472009 0 716987 0 0 0 0.206 0
20 1983 4181532 3678958 0 672283 0 0 0 0.207 0
20 1984 1953170 3979779 0 641928 0 0 0 0.209 0
20 1985 1763044 4008008 0 614371 0 0 0 0.212 0
20 1986 4062330 3602549 0 602201 0 0 0 0.217 0
20 1987 2707304 3569947 0 654992 0 0 0 0.224 0
20 1988 2665714 3521030 0 680491 0 0 0 0.231 0
20 1989 3850196 3288174 0 585920 0 0 0 0.242 0
20 1990 2351096 3373583 0 626107 0 0 0 0.256 0
20 1991 2641378 3273562 0 675665 0 0 0 0.272 0
20 1992 1957547 3002776 0 760690 0 0 0 0.29 0
20 1993 2394688 2663959 0 824568 0 0 0 0.307 0
20 1994 2783885 2321191 0 819087 0 0 0 0.316 0
20 1995 2073325 2290216 0 756277 0 0 0 0.313 0
20 1996 2063895 2174716 0 563472 0 0 0 0.303 0
20 1997 1735510 2144903 0 573029 0 0 0 0.297 0
20 1998 2299761 2118203 0 666316 0 0 0 0.303 0
20 1999 1906540 2297701 0 640309 0 0 0 0.317 0
20 2000 2231701 2261229 0 738606 0 0 0 0.334 0
20 2001 2546612 2145615 0 737463 0 0 0 0.366 0
20 2002 1155583 2053280 0 771422 0 0 0 0.391 0
20 2003 4783942 2006047 0 679287 0 0 0 0.406 0
20 2004 6577625 2609154 0 660491 0 0 0 0.374 0
20 2005 2399484 2433808 0 549514 0 0 0 0.303 0
20 2006 3480919 2296686 0 481181 0 0 0 0.279 0
20 2007 5095654 2441423 0 586206 0 0 0 0.306 0
20 2008 5197356 2891383 0 623165 0 0 0 0.292 0
20 2009 3749368 3599313 0 737969 0 0 0 0.263 0
20 2010 4193134 4057815 0 877272 0 0 0 0.251 0
20 2011 3556127 4736686 0 948963 0 0 0 0.242 0
20 2012 5939342 4500692 0 899551 0 0 0 0.22 0
20 2013 6867546 5057375 0 938299 0 0 0 0.215 0
20 2014 3834283 6303439 0 1401788 0 0 0 0.216 0
20 2015 3387247 6418653 0 1215827 0 0 0 0.2 0
20 2016 5004656 6056742 0 1100135 0 0 0 0.183 0
20 2017 2120346 5859454 0 1159641 0 0 0 0.186 0
20 2018 4681101 5076992 0 1023144 0 0 0 0.191 0
20 2019 2814162 4306452 0 839727 0 0 0 0.197 0
20 2020 2544660 4038542 0 1039513 0 0 0 0.247 0
20 2021 5528431 4186470 0 1081540 0 0 0 0.266 0
20 2022 4953325 3951017 0 1046720 0 0 0 0.304 0
20 2023 3269823 3681064 0 NA 0 0 0 NA 0
24 1984 38100000 117640 0 NA 0 0 0 1.136 0
24 1985 27861000 61422 0 NA 0 0 0 1.093 0
24 1986 45749000 45342 0 NA 0 0 0 0.832 0
24 1987 9637000 68307 0 NA 0 0 0 0.77 0
24 1988 43427000 66499 0 NA 0 0 0 0.582 0
24 1989 45411000 68041 0 NA 0 0 0 0.58 0
24 1990 56563000 90807 0 NA 0 0 0 0.548 0
24 1991 98152000 113373 0 NA 0 0 0 0.53 0
24 1992 51773000 186673 0 NA 0 0 0 0.506 0
24 1993 45178000 145130 0 NA 0 0 0 0.516 0
24 1994 126029000 101511 0 NA 0 0 0 0.44 0
24 1995 49714000 199027 0 NA 0 0 0 0.342 0
24 1996 106269000 234672 0 NA 0 0 0 0.313 0
24 1997 21207000 235372 0 NA 0 0 0 0.301 0
24 1998 38345000 213870 0 NA 0 0 0 0.282 0
24 1999 88388000 127761 0 NA 0 0 0 0.296 0
24 2000 24543000 211970 0 NA 0 0 0 0.278 0
24 2001 24233000 202015 0 NA 0 0 0 0.244 0
24 2002 19534000 97272 0 NA 0 0 0 0.294 0
24 2003 7714000 59027 0 NA 0 0 0 0.245 0
24 2004 7397000 40148 0 NA 0 0 0 0.223 0
24 2005 29215000 29936 0 NA 0 0 0 0.001 0
24 2006 20941000 56536 0 NA 0 0 0 0.261 0
24 2007 30448000 79112 0 NA 0 0 0 0.038 0
24 2008 45621000 99214 0 NA 0 0 0 0.056 0
24 2009 65954000 145435 0 NA 0 0 0 0.079 0
24 2010 5937000 245619 0 NA 0 0 0 0.089 0
24 2011 10170000 179620 0 NA 0 0 0 0.076 0
24 2012 51457000 76385 0 NA 0 0 0 0.139 0
24 2013 15704000 93936 0 NA 0 0 0 0.217 0
24 2014 86765000 89578 0 NA 0 0 0 0.22 0
24 2015 32915000 110277 0 NA 0 0 0 0.24 0
24 2016 55796000 113743 0 NA 0 0 0 0.261 0
24 2017 19096000 91581 0 NA 0 0 0 0.256 0
24 2018 68656000 72267 0 NA 0 0 0 0.273 0
24 2019 88977000 103078 0 NA 0 0 0 0.29 0
24 2020 54335000 182542 0 NA 0 0 0 0.304 0
24 2021 20793000 160102 0 NA 0 0 0 0.316 0
24 2022 40098000 87918 0 NA 0 0 0 0.319 0
24 2023 26260000 78191 0 NA 0 0 0 NA 0
26 1957 1774803 806128 0 78443 0 0 0 0.11 0
26 1958 2576366 804359 0 88191 0 0 0 0.128 0
26 1959 3053773 798296 0 109164 0 0 0 0.145 0
26 1960 2704119 823957 0 117334 0 0 0 0.149 0
26 1961 2916679 828654 0 118474 0 0 0 0.148 0
26 1962 2093852 991144 0 125375 0 0 0 0.161 0
26 1963 2459889 895194 0 148376 0 0 0 0.182 0
26 1964 6308523 882137 0 147571 0 0 0 0.188 0
26 1965 2419411 779720 0 140223 0 0 0 0.17 0
26 1966 1902609 834018 0 166552 0 0 0 0.182 0
26 1967 1279216 957778 0 163365 0 0 0 0.184 0
26 1968 1311066 899839 0 139521 0 0 0 0.166 0
