"SMS_area" "year" "quarter" "prey" "prey.no" "prey.age" "prey.size.class" "prey.size" "ALK.MeanL" "ALK"
1 1981 1 "HAD" 18 3 7 "0300-0400" 33.170026418 54.869310349
1 1981 1 "HAD" 18 3 8 "0400-0500" 42.024925707 2.0336233074
1 1981 1 "HAD" 18 4 6 "0250-0300" 28.243829972 9.7572296967
1 1981 1 "HAD" 18 4 7 "0300-0400" 34.501147972 72.221797753
1 1981 1 "HAD" 18 4 8 "0400-0500" 42.955178365 16.877590315
1 1981 1 "HAD" 18 4 9 "0500-0700" 52.76044473 1.1433822348
1 1981 1 "HAD" 18 5 6 "0250-0300" 28.600730001 2.1917426103
1 1981 1 "HAD" 18 5 7 "0300-0400" 35.601463517 62.166887875
1 1981 1 "HAD" 18 5 8 "0400-0500" 43.914022305 31.402885159
1 1981 1 "HAD" 18 5 9 "0500-0700" 53.783940481 4.238484356
1 1981 1 "HAD" 18 6 6 "0250-0300" 28.027264759 1.7025442668
1 1981 1 "HAD" 18 6 7 "0300-0400" 36.979035521 35.681477938
1 1981 1 "HAD" 18 6 8 "0400-0500" 43.985868695 49.971926414
1 1981 1 "HAD" 18 6 9 "0500-0700" 55.199319737 12.644051381
1 1981 1 "HAD" 18 7 7 "0300-0400" 38.839773966 16.349090113
1 1981 1 "HAD" 18 7 8 "0400-0500" 43.728638299 42.994159351
1 1981 1 "HAD" 18 7 9 "0500-0700" 57.122741036 40.656750536
1 1981 1 "HAD" 18 8 7 "0300-0400" 36.657314688 23.18554485
1 1981 1 "HAD" 18 8 8 "0400-0500" 44.340370841 35.391252037
1 1981 1 "HAD" 18 8 9 "0500-0700" 57.529293083 38.594313391
1 1981 1 "HAD" 18 8 10 "0700-1000" 79.253436677 2.8288897217
1 1981 1 "HAD" 18 9 8 "0400-0500" 43.245879121 25.12013343
1 1981 1 "HAD" 18 9 9 "0500-0700" 58.0100226 74.87986657
1 1981 1 "HAD" 18 10 7 "0300-0400" 37.499330074 9.7134636774
1 1981 1 "HAD" 18 10 8 "0400-0500" 45.98434833 21.920264083
1 1981 1 "HAD" 18 10 9 "0500-0700" 60.427923235 63.977918024
1 1981 1 "HAD" 18 10 10 "0700-1000" 72.5 4.3883542161
1 1981 1 "POK" 19 1 4 "0150-0200" 17.144067797 8.6786753588
1 1981 1 "POK" 19 1 5 "0200-0250" 21.723935842 12.750958721
1 1981 1 "POK" 19 1 6 "0250-0300" 28.722267454 23.357582219
1 1981 1 "POK" 19 1 7 "0300-0400" 31.96684162 55.212783701
1 1981 1 "POK" 19 2 6 "0250-0300" 27.940925714 9.2119093185
1 1981 1 "POK" 19 2 7 "0300-0400" 33.759231232 85.198299867
1 1981 1 "POK" 19 2 8 "0400-0500" 43.265064576 5.5897908147
1 1981 1 "POK" 19 3 7 "0300-0400" 37.516025772 39.039875103
1 1981 1 "POK" 19 3 8 "0400-0500" 43.642577838 55.292158463
1 1981 1 "POK" 19 3 9 "0500-0700" 52.104898946 5.6679664336
1 1981 1 "POK" 19 4 8 "0400-0500" 44.171701832 87.619020202
1 1981 1 "POK" 19 4 9 "0500-0700" 54.244560908 12.380979798
1 1981 1 "POK" 19 5 8 "0400-0500" 46.715937266 24.508119785
1 1981 1 "POK" 19 5 9 "0500-0700" 57.717436636 72.716191968
1 1981 1 "POK" 19 5 10 "0700-1000" 74.683626089 2.7756882468
1 1981 1 "POK" 19 6 8 "0400-0500" 45.617508589 0.709152472
1 1981 1 "POK" 19 6 9 "0500-0700" 62.877092986 77.019369535
1 1981 1 "POK" 19 6 10 "0700-1000" 73.26506728 22.271477993
1 1981 1 "POK" 19 7 9 "0500-0700" 65.865973835 21.088148944
1 1981 1 "POK" 19 7 10 "0700-1000" 77.043283118 78.911851056
1 1981 1 "POK" 19 8 9 "0500-0700" 67.885774068 6.6642944437
1 1981 1 "POK" 19 8 10 "0700-1000" 82.371807395 93.335705556
1 1981 1 "POK" 19 9 10 "0700-1000" 87.737657068 96.585783354
1 1981 1 "POK" 19 9 11 "1000-1200" 103.31722016 3.4142166456
1 1981 1 "POK" 19 10 10 "0700-1000" 90.666869928 32.59515563
1 1981 1 "POK" 19 10 11 "1000-1200" 106.74797392 67.40484437
1 1981 1 "MAC" 20 1 5 "0200-0250" 21.385530221 100
1 1981 1 "MAC" 20 2 5 "0200-0250" 22.499752483 37.05896824
1 1981 1 "MAC" 20 2 6 "0250-0300" 28.297007913 49.089113468
1 1981 1 "MAC" 20 2 7 "0300-0400" 31.483806636 13.851918292
1 1981 1 "MAC" 20 3 6 "0250-0300" 28.471146555 27.914709822
1 1981 1 "MAC" 20 3 7 "0300-0400" 31.875563435 72.085290178
1 1981 1 "MAC" 20 4 6 "0250-0300" 28.515078802 2.8470808088
1 1981 1 "MAC" 20 4 7 "0300-0400" 33.618643999 97.152919191
1 1981 1 "MAC" 20 5 7 "0300-0400" 35.008108087 100
1 1981 1 "MAC" 20 6 7 "0300-0400" 36.546040697 98.248830953
1 1981 1 "MAC" 20 6 8 "0400-0500" 41.442072684 1.7511690474
1 1981 1 "MAC" 20 7 7 "0300-0400" 37.134866196 95.413690243
1 1981 1 "MAC" 20 7 8 "0400-0500" 42.013125558 4.5863097571
1 1981 1 "MAC" 20 8 7 "0300-0400" 37.433369186 89.600961003
1 1981 1 "MAC" 20 8 8 "0400-0500" 41.905755316 10.399038997
1 1981 1 "MAC" 20 9 7 "0300-0400" 38.502733628 71.749420013
1 1981 1 "MAC" 20 9 8 "0400-0500" 40.871949022 28.250579987
1 1981 1 "MAC" 20 10 7 "0300-0400" 38.489976186 15.751304911
1 1981 1 "MAC" 20 10 8 "0400-0500" 41.846013284 84.248695089
1 1981 1 "HER" 21 1 2 "0070-0100" 8.9165724993 4.5973752888
1 1981 1 "HER" 21 1 3 "0100-0150" 13.077259145 60.765438838
1 1981 1 "HER" 21 1 4 "0150-0200" 16.343340503 34.637185874
1 1981 1 "HER" 21 2 3 "0100-0150" 12.972958538 3.1880012482
1 1981 1 "HER" 21 2 4 "0150-0200" 18.624397463 15.161325386
1 1981 1 "HER" 21 2 5 "0200-0250" 22.439281564 79.10736289
1 1981 1 "HER" 21 2 6 "0250-0300" 25.729424796 2.5433104749
1 1981 1 "HER" 21 3 4 "0150-0200" 18.931149619 4.3527505197
1 1981 1 "HER" 21 3 5 "0200-0250" 23.63520726 53.149221466
1 1981 1 "HER" 21 3 6 "0250-0300" 26.252620902 42.498028014
1 1981 1 "HER" 21 4 4 "0150-0200" 18.340885762 0.0844108995
1 1981 1 "HER" 21 4 5 "0200-0250" 24.139574171 9.2609000025
1 1981 1 "HER" 21 4 6 "0250-0300" 26.789991407 90.654689098
1 1981 1 "HER" 21 5 5 "0200-0250" 24.262558488 3.5033962482
1 1981 1 "HER" 21 5 6 "0250-0300" 27.700244879 91.298821133
1 1981 1 "HER" 21 5 7 "0300-0400" 30.585716241 5.1977826185
1 1981 1 "HER" 21 6 5 "0200-0250" 24.233562345 1.2608925873
1 1981 1 "HER" 21 6 6 "0250-0300" 28.129327554 86.598690455
1 1981 1 "HER" 21 6 7 "0300-0400" 30.645670133 12.140416958
1 1981 1 "HER" 21 7 6 "0250-0300" 28.671324388 63.948748938
1 1981 1 "HER" 21 7 7 "0300-0400" 30.67494605 36.051251062
1 1981 1 "HER" 21 8 6 "0250-0300" 28.963557516 29.593094789
1 1981 1 "HER" 21 8 7 "0300-0400" 31.290126274 70.406905211
1 1981 1 "NSA" 22 1 2 "0070-0100" 9.032442704 33.561346395
1 1981 1 "NSA" 22 1 3 "0100-0150" 11.720987405 66.438653605
1 1981 1 "NSA" 22 2 2 "0070-0100" 9.4027590334 1.8021854901
1 1981 1 "NSA" 22 2 3 "0100-0150" 12.822350899 72.119020411
1 1981 1 "NSA" 22 2 4 "0150-0200" 16.485744764 26.078794099
1 1981 1 "NSA" 22 3 3 "0100-0150" 14.398171634 3.0780448902
1 1981 1 "NSA" 22 3 4 "0150-0200" 17.441013755 96.92195511
1 1981 1 "NSA" 22 4 4 "0150-0200" 18.652284084 79.076653004
1 1981 1 "NSA" 22 4 5 "0200-0250" 20.64236229 20.923346996
1 1981 1 "SSA" 23 1 2 "0070-0100" 9.1317393937 37.595165483
1 1981 1 "SSA" 23 1 3 "0100-0150" 11.377957458 62.404834517
1 1981 1 "SSA" 23 2 3 "0100-0150" 13.35957258 80.031044716
1 1981 1 "SSA" 23 2 4 "0150-0200" 15.890519421 19.968955284
1 1981 1 "SSA" 23 3 3 "0100-0150" 13.578390936 29.933697202
1 1981 1 "SSA" 23 3 4 "0150-0200" 17.286266233 70.066302798
1 1981 1 "SSA" 23 4 3 "0100-0150" 14.203896659 10.245458151
1 1981 1 "SSA" 23 4 4 "0150-0200" 17.997283683 85.236169607
1 1981 1 "SSA" 23 4 5 "0200-0250" 20.742085031 4.5183722426
1 1981 1 "NOP" 24 1 2 "0070-0100" 9.2195950806 17.570303428
1 1981 1 "NOP" 24 1 3 "0100-0150" 11.382069647 82.201627628
1 1981 1 "NOP" 24 1 4 "0150-0200" 15.572359847 0.2280689441
1 1981 1 "NOP" 24 2 3 "0100-0150" 14.192354346 19.280777555
1 1981 1 "NOP" 24 2 4 "0150-0200" 16.405449717 80.566722495
1 1981 1 "NOP" 24 2 5 "0200-0250" 20.879323353 0.1524999504
1 1981 1 "NOP" 24 3 3 "0100-0150" 14.107586597 2.2715584639
1 1981 1 "NOP" 24 3 4 "0150-0200" 17.882068114 91.137856366
1 1981 1 "NOP" 24 3 5 "0200-0250" 20.825056924 6.5778075189
1 1981 1 "NOP" 24 3 6 "0250-0300" 27.653652393 0.0127776513
1 1981 1 "SPR" 25 1 1 "0050-0070" 6.1254071579 42.793934136
1 1981 1 "SPR" 25 1 2 "0070-0100" 8.3129232591 54.934998997
1 1981 1 "SPR" 25 1 3 "0100-0150" 10.402388 2.2710668672
1 1981 1 "SPR" 25 2 2 "0070-0100" 8.8415691835 32.47329368
1 1981 1 "SPR" 25 2 3 "0100-0150" 11.387182362 67.52670632
1 1981 1 "SPR" 25 3 2 "0070-0100" 9.4947933566 3.3384527829
1 1981 1 "SPR" 25 3 3 "0100-0150" 12.372777643 96.661547217
1 1981 2 "COD" 16 1 2 "0070-0100" 9.22167307 0.992461531
1 1981 2 "COD" 16 1 3 "0100-0150" 13.023166237 18.55244147
1 1981 2 "COD" 16 1 4 "0150-0200" 17.495583488 37.225639421
1 1981 2 "COD" 16 1 5 "0200-0250" 22.353349121 24.816126478
1 1981 2 "COD" 16 1 6 "0250-0300" 27.101142953 13.968801054
1 1981 2 "COD" 16 1 7 "0300-0400" 32.654525528 4.4445300461
1 1981 2 "COD" 16 2 5 "0200-0250" 21.934201495 6.2325332711
1 1981 2 "COD" 16 2 6 "0250-0300" 27.736233426 15.862274912
1 1981 2 "COD" 16 2 7 "0300-0400" 35.063492151 48.074576563
1 1981 2 "COD" 16 2 8 "0400-0500" 43.841409834 25.431255568
1 1981 2 "COD" 16 2 9 "0500-0700" 54.745209419 4.3993596857
1 1981 2 "COD" 16 3 6 "0250-0300" 29.002568074 0.3052018385
1 1981 2 "COD" 16 3 7 "0300-0400" 37.187825508 6.2031170531
1 1981 2 "COD" 16 3 8 "0400-0500" 45.701179022 20.340730851
1 1981 2 "COD" 16 3 9 "0500-0700" 58.746684199 66.425546606
1 1981 2 "COD" 16 3 10 "0700-1000" 73.981268617 6.7254036523
1 1981 2 "COD" 16 4 7 "0300-0400" 36.263374426 0.3712766293
1 1981 2 "COD" 16 4 8 "0400-0500" 45.127823313 1.4542809004
1 1981 2 "COD" 16 4 9 "0500-0700" 62.881991186 38.133026914
1 1981 2 "COD" 16 4 10 "0700-1000" 77.710928278 60.041415556
1 1981 2 "COD" 16 5 9 "0500-0700" 64.299985373 5.3361062327
1 1981 2 "COD" 16 5 10 "0700-1000" 84.41381343 88.829331776
1 1981 2 "COD" 16 5 11 "1000-1200" 102.46038726 5.8345619913
1 1981 2 "COD" 16 6 10 "0700-1000" 90.148197922 73.120953005
1 1981 2 "COD" 16 6 11 "1000-1200" 104.62849661 26.879046995
1 1981 2 "COD" 16 7 10 "0700-1000" 92.632202939 47.576424942
1 1981 2 "COD" 16 7 11 "1000-1200" 106.29843496 52.423575058
1 1981 2 "COD" 16 8 10 "0700-1000" 96.35760291 28.258576262
1 1981 2 "COD" 16 8 11 "1000-1200" 109.15987224 71.741423738
1 1981 2 "COD" 16 9 11 "1000-1200" 109.58040556 100
1 1981 2 "COD" 16 10 11 "1000-1200" 113.02806376 88.064472002
1 1981 2 "COD" 16 10 12 "1200-9999" 138.5 11.935527998
1 1981 2 "WHG" 17 1 3 "0100-0150" 13.60720193 16.789426936
1 1981 2 "WHG" 17 1 4 "0150-0200" 17.29987227 67.507375506
1 1981 2 "WHG" 17 1 5 "0200-0250" 21.645179485 15.703197559
1 1981 2 "WHG" 17 2 3 "0100-0150" 14.5 0.0844741975
1 1981 2 "WHG" 17 2 4 "0150-0200" 18.410689496 6.605101837
1 1981 2 "WHG" 17 2 5 "0200-0250" 22.814523398 63.575230244
1 1981 2 "WHG" 17 2 6 "0250-0300" 26.608662502 28.559323687
1 1981 2 "WHG" 17 2 7 "0300-0400" 31.116669403 1.1758700349
1 1981 2 "WHG" 17 3 5 "0200-0250" 23.792591116 17.18621482
1 1981 2 "WHG" 17 3 6 "0250-0300" 27.267934498 67.542888113
1 1981 2 "WHG" 17 3 7 "0300-0400" 31.676663197 15.270897067
1 1981 2 "WHG" 17 4 5 "0200-0250" 24.05159236 4.6148997205
1 1981 2 "WHG" 17 4 6 "0250-0300" 27.828688821 58.372842894
1 1981 2 "WHG" 17 4 7 "0300-0400" 32.696485679 37.012257385
1 1981 2 "WHG" 17 5 5 "0200-0250" 24.349317849 3.0596242623
1 1981 2 "WHG" 17 5 6 "0250-0300" 27.965535497 46.754650432
1 1981 2 "WHG" 17 5 7 "0300-0400" 33.261508117 47.503710721
1 1981 2 "WHG" 17 5 8 "0400-0500" 42.454009024 2.682014585
1 1981 2 "WHG" 17 6 5 "0200-0250" 24.499373888 4.06364472
1 1981 2 "WHG" 17 6 6 "0250-0300" 28.088931426 43.671645828
1 1981 2 "WHG" 17 6 7 "0300-0400" 33.380100428 48.659831521
1 1981 2 "WHG" 17 6 8 "0400-0500" 43.07293976 3.6048779306
1 1981 2 "WHG" 17 7 6 "0250-0300" 28.298580432 27.978130346
1 1981 2 "WHG" 17 7 7 "0300-0400" 33.237996657 65.668321009
1 1981 2 "WHG" 17 7 8 "0400-0500" 43.608757385 6.353548645
1 1981 2 "WHG" 17 8 6 "0250-0300" 29.5 19.031964484
1 1981 2 "WHG" 17 8 7 "0300-0400" 34.059195988 75.929489168
1 1981 2 "WHG" 17 8 8 "0400-0500" 43.170345734 5.0385463479
1 1981 2 "HAD" 18 1 3 "0100-0150" 13.771047321 8.9279600383
1 1981 2 "HAD" 18 1 4 "0150-0200" 17.566805942 59.720628199
1 1981 2 "HAD" 18 1 5 "0200-0250" 21.90485428 29.573396506
